Industry,Return,Profit,Risk,Liquidity,Efficiency,Future
AGRIC,5,1,5,1,2,1
CLTHS,5,5,2,4,3,4
DRUGS,5,1,5,5,1,5
CHEMS,5,3,2,4,2,3
SOFTW,5,2,4,4,4,5
SHIPS,5,2,3,4,4,2
TXTLS,5,3,3,5,2,3
HLTH,5,2,2,3,5,1
GOLD,5,1,5,4,4,1
TELCM,5,2,1,3,4,3
FUN,4,2,1,1,5,3
FOOD,4,4,2,2,4,4
COAL,4,4,5,5,4,1
STEEL,4,2,4,4,2,2
RTAIL,4,3,1,1,5,3
TOYS,4,1,4,3,2,4
HSHLD,4,4,2,2,3,5
MEDEQ,4,1,5,5,1,5
OIL,4,5,4,3,5,1
LABEQ,4,2,4,5,1,5
PAPER,3,4,2,2,3,2
TRANS,3,1,2,2,5,2
MEALS,3,2,1,1,5,3
GUNS,3,4,4,5,1,3
FIN,3,5,3,5,1,5
FABPR,3,3,2,2,3,1
BOXES,3,3,1,1,4,2
BOOKS,3,4,1,1,5,4
CHIPS,3,2,5,5,1,5
BLDMT,2,5,4,4,2,2
BEER,2,5,3,1,1,4
BANKS,2,5,1,4,3,5
CNSTR,2,4,3,2,4,1
RUBBR,2,4,3,4,2,3
PERSV,2,5,1,2,5,4
WHLSL,2,3,2,3,3,2
BUSSV,2,3,3,3,4,1
OTHER,2,1,2,1,5,2
MACH,2,5,4,4,1,4
AERO,1,3,3,3,1,4
AUTOS,1,2,4,2,2,4
ELCEQ,1,1,5,3,1,4
MINES,1,1,5,5,2,1
HARDW,1,4,3,3,2,5
INSUR,1,3,1,2,5,1
SODA,1,5,5,5,3,5
SMOKE,1,4,5,1,3,3
RLEST,1,1,4,2,3,2
UTIL,1,5,1,1,4,2
